I declare resumed the session of the European Parliament adjourned on Friday 17 December 1999 and I would like once again to wish you a happy new year in the hope that you enjoyed a pleasant festive period.,en-GB
Although as you will have seen the dreaded 'millennium bug' failed to materialise still the people in a number of countries suffered a series of natural disasters that truly were dreadful.,en-GB
You have requested a debate on this subject in the course of the next few days during this part-session.,en-GB
In the meantime I should like to observe a minute' s silence as a number of Members have requested on behalf of all the victims concerned particularly those of the terrible storms in the various countries of the European Union.,en-GB
Please rise then for this minute' s silence.,en-GB
(The House rose and observed a minute' s silence),en-GB
Madam President on a point of order.,en-GB
You will be aware from the press and television that there have been a number of bomb explosions and killings in Sri Lanka.,en-GB
One of the people assassinated very recently in Sri Lanka was Mr Kumar Ponnambalam who had visited the European Parliament just a few months ago.,en-GB
Would it be appropriate for you Madam President to write a letter to the Sri Lankan President expressing Parliament's regret at his and the other violent deaths in Sri Lanka and urging her to do everything she possibly can to seek a peaceful reconciliation to a very difficult situation?,en-GB
Yes Mr Evans I feel an initiative of the type you have just suggested would be entirely appropriate.,en-GB
If the House agrees I shall do as Mr Evans has suggested.,en-GB
Madam President on a point of order.,en-GB
I would like your advice about Rule 143 concerning inadmissibility.,en-GB
My question relates to something that will come up on Thursday and which I will then raise again.,en-GB
The Cunha report on multiannual guidance programmes comes before Parliament on Thursday and contains a proposal in paragraph 6 that a form of quota penalties should be introduced for countries which fail to meet their fleet reduction targets annually.,en-GB
It says that this should be done despite the principle of relative stability.,en-GB
I believe that the principle of relative stability is a fundamental legal principle of the common fisheries policy and a proposal to subvert it would be legally inadmissible.,en-GB
I want to know whether one can raise an objection of that kind to what is merely a report not a legislative proposal and whether that is something I can competently do on Thursday.,en-GB
That is precisely the time when you may if you wish raise this question i.e. on Thursday prior to the start of the presentation of the report.,en-GB
Madam President coinciding with this year' s first part-session of the European Parliament a date has been set unfortunately for next Thursday in Texas in America for the execution of a young 34 year-old man who has been sentenced to death. We shall call him Mr Hicks.,en-GB
Madam President coinciding with this year' s first part-session of the European Parliament a date has been set unfortunately for next Thursday in Texas in America for the execution of a young 34 year-old man who has been sentenced to death. We shall call him Mr Hicks.,en-GB
At the request of a French Member Mr Zimeray a petition has already been presented which many people signed including myself.,en-GB
However I would ask you in accordance with the line which is now constantly followed by the European Parliament and by the whole of the European Community to make representations using the weight of your prestigious office and the institution you represent to the President and to the Governor of Texas Mr Bush who has the power to order a stay of execution and to reprieve the condemned person.,en-GB
This is all in accordance with the principles that we have always upheld.,en-GB
Thank you Mr Segni I shall do so gladly.,en-GB
Indeed it is quite in keeping with the positions this House has always adopted.,en-GB
Madam President I should like to draw your attention to a case in which this Parliament has consistently shown an interest.,en-GB
It is the case of Alexander Nikitin.,en-GB
All of us here are pleased that the courts have acquitted him and made it clear that in Russia too access to environmental information is a constitutional right.,en-GB
Now however he is to go before the courts once more because the public prosecutor is appealing.,en-GB
We know and we have stated as much in very many resolutions indeed including specifically during the last plenary part-session of last year that this is not solely a legal case and that it is wrong for Alexander Nikitin to be accused of criminal activity and treason because of our involvement as the beneficiaries of his findings.,en-GB
These findings form the basis of the European programmes to protect the Barents Sea and that is why I would ask you to examine a draft letter setting out the most important facts and to make Parliament's position as expressed in the resolutions which it has adopted clear as far as Russia is concerned.,en-GB
Yes Mrs Schroedter I shall be pleased to look into the facts of this case when I have received your letter.,en-GB
Madam President I would firstly like to compliment you on the fact that you have kept your word and that during this first part-session of the new year the number of television channels in our offices has indeed increased considerably.,en-GB
But Madam President my personal request has not been met.,en-GB
Although there are now two Finnish channels and one Portuguese one there is still no Dutch channel which is what I had requested because Dutch people here like to be able to follow the news too when we are sent to this place of exile every month.,en-GB
I would therefore once more ask you to ensure that we get a Dutch channel as well.,en-GB
Mrs Plooij-van Gorsel I can tell you that this matter is on the agenda for the Quaestors' meeting on Wednesday.,en-GB
It will I hope be examined in a positive light.,en-GB
Madam President can you tell me why this Parliament does not adhere to the health and safety legislation that it actually passes?,en-GB
Why has no air quality test been done on this particular building since we were elected?,en-GB
Why has there been no Health and Safety Committee meeting since 1998?,en-GB
Why has there been no fire drill either in the Brussels Parliament buildings or the Strasbourg Parliament buildings?,en-GB
Why are there no fire instructions?,en-GB
Why have the staircases not been improved since my accident?,en-GB
Why are no-smoking areas not enforced?,en-GB
It seems absolutely disgraceful that we pass legislation and do not adhere to it ourselves.,en-GB
Mrs Lynne you are quite right and I shall check whether this has actually not been done.,en-GB
I shall also refer the matter to the College of Quaestors and I am certain that they will be keen to ensure that we comply with the regulations we ourselves vote on.,en-GB
Madam President Mrs Díez González and I had tabled questions on certain opinions of the Vice-President Mrs de Palacio which appeared in a Spanish newspaper.,en-GB
The competent services have not included them in the agenda on the grounds that they had been answered in a previous part-session.,en-GB
I would ask that they reconsider since this is not the case.,en-GB
The questions answered previously referred to Mrs de Palacio' s intervention on another occasion and not to these comments which appeared in the ABC newspaper on 18 November.,en-GB
Mr Berenguer Fuster we shall check all this.,en-GB
I admit that at present the matter seems to be somewhat confused.,en-GB
We shall therefore look into it properly to ensure that everything is as it should be.,en-GB
Madam President I should like to know if there will be a clear message going out from Parliament this week about our discontent over today's decision refusing to renew the arms embargo on Indonesia considering that the vast majority in this Parliament have endorsed the arms embargo in Indonesia in the past?,en-GB
Today's decision not to renew the embargo is extremely dangerous considering the situation there.,en-GB
So Parliament should send a message since that is the wish of the vast majority.,en-GB
It is irresponsible of EU Member States to refuse to renew the embargo.,en-GB
As people have said the situation there is extremely volatile.,en-GB
There is in fact a risk of a military coup in the future.,en-GB
We do not know what is happening.,en-GB
So why should EU arms producers profit at the expense of innocent people?,en-GB
In any event this question is not presently included among the requests for topical and urgent debate on Thursday.,en-GB
Agenda,en-GB
The next item is the verification of the final version of the draft agenda as drawn up by the Conference of Presidents at its meeting of 13 January pursuant to Rule 110 of the Rules of Procedure.,en-GB
No amendments have been proposed relating to Monday and Tuesday.,en-GB
Relating to Wednesday:,en-GB
The Group of the Party of European Socialists requests that a Commission statement be included on its strategic objectives for the next five years and on the administrative reform of the Commission.,en-GB
I would like Mr Barón Crespo who made the request to speak to propose it. That is if he so wishes of course.,en-GB
Then we shall follow the usual procedure hearing one speaker in favour and one against.,en-GB
Madam President the presentation of the Prodi Commission' s political programme for the whole legislature was initially a proposal by the Group of the Party of European Socialists which was unanimously approved by the Conference of Presidents in September and which was also explicitly accepted by President Prodi who reiterated his commitment in his inaugural speech.,en-GB
This commitment is important because the Commission is a body with a monopoly of initiative in accordance with the Treaties and therefore basically dictates this Parliament' s political and legislative activity for the next five years.,en-GB
I would also like to point out Madam President that this Parliament voted to express its confidence in President Prodi during the previous legislature. It did so again during this legislature in July and then in September it voted once more to approve the whole Commission.,en-GB
There has therefore been enough time for the Commission to prepare its programme and for us to become familiar with it and explain it to our citizens.,en-GB
To this end I would like to remind you of the resolution of 15 September which recommended that the proposal be presented as soon as possible.,en-GB
The events of last week - which originated outside the Conference of Presidents that Conference being used simply to corroborate and ratify decisions taken elsewhere - present us with a dilemma. Either the Commission is not ready to present this programme in which case it should clarify it.,en-GB
According to its President it is in a position to do so.,en-GB
Given that the Commission is represented by Vice-President de Palacio I believe that before voting it would help if the Commission could let us know how ready it is to present this programme as agreed. Alternatively Parliament is not ready to examine this programme as some appear to be suggesting.,en-GB
In my opinion this second hypothesis would imply the failure of Parliament in its duty as a Parliament as well as introducing an original thesis an unknown method which consists of making political groups aware in writing of a speech concerning the Commission' s programme a week earlier - and not a day earlier as had been agreed - bearing in mind that the legislative programme will be discussed in February so we could forego the debate since on the next day our citizens will hear about it in the press and on the Internet and Parliament will no longer have to worry about it.,en-GB
My Group believes that since a parliament is meant to listen debate and reflect there can be no justification whatsoever for this delay and we believe that if the Commission is ready to do so we still have time to re-establish the original agreement between Parliament and the Commission and proceed in a manner which fulfils our duty to our fellow citizens.,en-GB
